AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD,Year
2023-02-15,2022-07-24,,SEC044,Cedar Income Partners,Core Plus,Value Add,Industrial,State Street,Long,SECID0044,Property Direct,Union Square Offices,22810.45,20929.91,344.15,408.92,0.9639,0.9639,8558658.8,8249691.22,4361.6,3666.84,21898.03,-64663.86,2023
2023-04-26,2022-11-05,,SEC045,Beacon Property Trust,Core Plus,Core Plus,Industrial,BNY Mellon,Short,SECID0045,Mortgage Bond,Granite Business Center,25207.07,24505.79,290.42,301.15,1.0966,1.0966,7379918.66,8092818.8,-4198.61,-11987.85,-21238.96,-42060.4,2023
2025-02-05,2024-02-17,,SEC046,Evergreen REIT Fund,Opportunistic,Opportunistic,Mixed Use,Northern Trust,Long,SECID0046,REIT Equity,Maple Grove Apartments,23048.75,23879.01,178.81,214.78,1.0561,1.0561,5128733.77,5416455.73,-3795.66,3007.88,3417.56,150093.67,2025
2024-03-06,2023-03-12,,SEC047,Beacon Property Trust,Value Add,Opportunistic,Industrial,Northern Trust,Long,SECID0047,Real Estate Debt,Maple Grove Apartments,12048.04,13126.3,264.26,254.65,0.9158,0.9158,3342612.29,3061164.34,4752.12,-11538.07,-8984.15,39353.53,2024
2023-11-20,2021-10-14,,SEC048,Evergreen REIT Fund,Value Add,Opportunistic,Mixed Use,Northern Trust,Long,SECID0048,Mortgage Bond,Riverside Logistics Park,17543.36,19030.79,30.19,36.09,0.9162,0.9162,686821.21,629265.59,-6601.17,36629.18,11794.4,-37534.05,2023
2025-05-16,2024-08-09,,SEC049,Delta Urban Holdings,Core,Opportunistic,Industrial,Northern Trust,Long,SECID0049,Property Direct,Cedar Heights Residences,34564.55,33164.23,45.76,39.99,0.9879,0.9879,1326237.56,1310190.09,-8565.67,27077.45,-1145.4,99025.3,2025
2025-06-13,2025-01-01,,SEC000,Beacon Property Trust,Core Plus,Core Plus,Industrial,BNY Mellon,Short,SECID0000,Real Estate Debt,Maple Grove Apartments,26234.03,24167.75,128.45,115.48,0.9899,0.9899,2790891.77,2762703.76,-7972.14,-11987.5,52.44,3758.45,2025
2024-10-24,2023-11-09,2025-01-23,SEC001,Delta Urban Holdings,Core,Opportunistic,Commercial,Northern Trust,Short,SECID0001,REIT Equity,Skyline Tower,25415.01,25489.86,254.39,247.63,0.9046,0.9046,6312054.03,5709884.08,-2250.33,12457.0,-10676.2,-11390.36,2024
2024-08-20,2022-03-11,,SEC002,Cedar Income Partners,Core,Value Add,Residential,BNY Mellon,Long,SECID0002,Real Estate Debt,Cedar Heights Residences,24058.76,24235.31,425.11,434.62,1.0765,1.0765,10533150.43,11338936.44,601.48,10288.78,7116.15,-89971.37,2024
2025-05-03,2024-03-04,,SEC003,Alpha Real Estate Fund,Core,Value Add,Industrial,Northern Trust,Short,SECID0003,Real Estate Debt,Union Square Offices,38455.8,36761.6,494.65,555.08,0.9238,0.9238,20405628.93,18850720.01,-7670.57,25553.54,3323.14,-59878.92,2025
2025-09-13,2024-03-20,2025-10-12,SEC004,Evergreen REIT Fund,Opportunistic,Value Add,Industrial,State Street,Short,SECID0004,Property Direct,Cedar Heights Residences,7714.78,7457.17,242.13,250.07,1.0213,1.0213,1864814.5,1904535.05,7755.76,2313.49,11792.97,5401.48,2025
2025-09-18,2024-04-05,,SEC005,Evergreen REIT Fund,Value Add,Core Plus,Mixed Use,BNY Mellon,Long,SECID0005,REIT Equity,Lakeside Retail Center,15689.74,16680.54,190.5,213.27,1.096,1.096,3557458.77,3898974.81,10303.74,35106.82,-2489.64,77725.68,2025
2023-09-21,2021-08-14,,SEC006,Alpha Real Estate Fund,Opportunistic,Core Plus,Mixed Use,BNY Mellon,Short,SECID0006,Real Estate Debt,Granite Business Center,42217.19,39243.21,343.56,296.36,1.0896,1.0896,11630117.72,12672176.27,3226.88,27372.63,-9649.23,54884.12,2023
2025-04-14,2023-10-19,,SEC007,Beacon Property Trust,Value Add,Core,Mixed Use,BNY Mellon,Long,SECID0007,Mortgage Bond,Cedar Heights Residences,46105.53,49543.32,370.56,324.21,0.9276,0.9276,16062439.78,14899519.14,5292.12,-35174.79,-11832.59,-163138.57,2025
2025-06-22,2023-03-25,,SEC008,Cedar Income Partners,Value Add,Opportunistic,Industrial,BNY Mellon,Long,SECID0008,Mortgage Bond,Cedar Heights Residences,34356.55,36443.04,139.54,145.63,1.0915,1.0915,5307199.92,5792808.71,-1347.03,14350.85,15023.57,5927.58,2025
2024-06-18,2022-02-25,,SEC009,Cedar Income Partners,Opportunistic,Value Add,Residential,BNY Mellon,Long,SECID0009,Property Direct,Lakeside Retail Center,15101.68,15323.6,276.16,333.69,0.9789,0.9789,5113332.08,5005440.77,8143.08,-27602.03,-17033.82,-4443.82,2024
2025-05-24,2023-12-21,,SEC010,Evergreen REIT Fund,Opportunistic,Opportunistic,Residential,Northern Trust,Long,SECID0010,Real Estate Debt,Skyline Tower,41569.63,39666.84,285.39,273.59,0.9218,0.9218,10852450.76,10003789.11,1920.33,-653.89,-20674.42,-7129.6,2025
2023-07-11,2021-06-07,,SEC011,Delta Urban Holdings,Core,Opportunistic,Industrial,BNY Mellon,Short,SECID0011,REIT Equity,Harbor Plaza,34378.41,31885.75,482.61,599.0,0.9316,0.9316,19099564.25,17793154.06,-6522.35,13393.45,3665.98,-75190.38,2023
2025-10-08,2024-03-10,,SEC012,Alpha Real Estate Fund,Core,Core,Commercial,Northern Trust,Short,SECID0012,REIT Equity,Skyline Tower,42666.32,38717.96,461.52,469.44,1.0675,1.0675,18175759.14,19402622.88,-2569.33,-21184.27,-626.79,76411.39,2025
2024-10-20,2024-06-03,,SEC013,Beacon Property Trust,Core,Value Add,Commercial,State Street,Short,SECID0013,Real Estate Debt,Lakeside Retail Center,17417.06,17258.04,324.24,343.61,1.0779,1.0779,5930035.12,6391984.86,-4928.63,10080.93,-5302.58,-63429.83,2024
2025-05-23,2024-10-15,2025-11-21,SEC014,Delta Urban Holdings,Core,Value Add,Residential,BNY Mellon,Long,SECID0014,Real Estate Debt,Maple Grove Apartments,39747.62,40286.45,381.07,350.66,1.0712,1.0712,14126846.56,15132678.04,-535.15,-20704.85,-5536.49,-95830.23,2025
2024-06-08,2024-05-03,,SEC015,Alpha Real Estate Fund,Value Add,Value Add,Commercial,State Street,Long,SECID0015,Mortgage Bond,Riverside Logistics Park,12540.54,13176.99,477.48,463.53,1.0446,1.0446,6107930.17,6380343.86,9823.63,705.27,-6997.26,17118.39,2024
2023-07-22,2022-01-24,,SEC016,Cedar Income Partners,Opportunistic,Opportunistic,Commercial,BNY Mellon,Long,SECID0016,Mortgage Bond,Cedar Heights Residences,44502.27,46903.98,348.24,384.97,1.0881,1.0881,18056625.18,19647413.86,-561.64,-4419.39,6141.67,60600.62,2023
2024-12-18,2023-07-25,,SEC017,Alpha Real Estate Fund,Core,Value Add,Residential,Northern Trust,Long,SECID0017,REIT Equity,Union Square Offices,40297.75,42921.97,383.31,430.13,1.0192,1.0192,18462026.96,18816497.88,-2652.51,-11516.36,-2750.52,-184153.69,2024
2025-09-05,2025-02-19,,SEC018,Evergreen REIT Fund,Core,Core Plus,Mixed Use,State Street,Short,SECID0018,Mortgage Bond,Skyline Tower,26496.74,24463.06,110.65,119.86,0.9182,0.9182,2932142.37,2692293.12,-7575.96,27337.49,16449.68,-19922.88,2025
2025-08-22,2023-04-19,,SEC019,Delta Urban Holdings,Value Add,Core Plus,Residential,State Street,Short,SECID0019,REIT Equity,Riverside Logistics Park,2066.75,1965.25,11.48,10.76,0.9146,0.9146,21146.09,19340.21,2882.78,6225.0,30788.81,89565.99,2025
2024-03-25,2023-10-09,,SEC020,Delta Urban Holdings,Core,Core Plus,Commercial,Northern Trust,Short,SECID0020,REIT Equity,Maple Grove Apartments,48938.33,50366.16,215.98,269.36,0.9765,0.9765,13566628.86,13247813.08,-639.59,-19110.81,-16064.46,16277.09,2024
2025-07-17,2025-02-07,,SEC021,Evergreen REIT Fund,Core,Core,Commercial,State Street,Short,SECID0021,Property Direct,Maple Grove Apartments,11911.82,10728.91,21.14,20.49,1.0347,1.0347,219835.37,227463.66,-3781.75,-28445.07,-6465.73,-86523.84,2025
2024-04-24,2022-02-01,2024-12-04,SEC022,Evergreen REIT Fund,Core Plus,Core,Residential,State Street,Long,SECID0022,Mortgage Bond,Lakeside Retail Center,31131.24,33847.37,445.63,421.68,0.9135,0.9135,14272758.98,13038165.33,8435.71,17632.8,-79.73,118395.53,2024
2023-09-07,2021-06-27,,SEC023,Cedar Income Partners,Value Add,Opportunistic,Industrial,State Street,Long,SECID0023,Mortgage Bond,Riverside Logistics Park,3765.76,3768.69,151.74,178.49,1.0463,1.0463,672673.48,703818.26,386.84,-17225.68,15231.24,43112.8,2023
2024-01-18,2022-04-23,,SEC024,Delta Urban Holdings,Value Add,Core,Mixed Use,State Street,Short,SECID0024,Mortgage Bond,Maple Grove Apartments,45667.31,46818.06,219.33,229.91,1.0945,1.0945,10763940.17,11781132.52,-5186.23,-3806.77,-8756.18,-110623.98,2024
2025-08-08,2023-02-21,,SEC025,Delta Urban Holdings,Opportunistic,Core,Commercial,BNY Mellon,Long,SECID0025,Property Direct,Harbor Plaza,43019.52,39959.56,236.88,206.81,0.9825,0.9825,8264036.6,8119415.96,4630.89,38188.33,-13985.68,45037.54,2025
2024-06-03,2022-11-03,,SEC026,Beacon Property Trust,Opportunistic,Core,Commercial,BNY Mellon,Short,SECID0026,REIT Equity,Union Square Offices,10333.6,9855.07,340.1,371.11,1.0747,1.0747,3657315.03,3930516.46,-3253.21,-9742.51,-5923.94,-69119.26,2024
2023-12-04,2021-10-01,,SEC027,Evergreen REIT Fund,Value Add,Value Add,Mixed Use,BNY Mellon,Short,SECID0027,Property Direct,Riverside Logistics Park,24467.12,23207.52,306.16,285.28,1.083,1.083,6620641.31,7170154.54,242.61,-16619.0,2704.57,-4019.05,2023
2024-09-16,2023-04-28,2025-05-24,SEC028,Beacon Property Trust,Opportunistic,Core Plus,Industrial,Northern Trust,Short,SECID0028,Property Direct,Maple Grove Apartments,38319.82,36942.09,109.53,106.81,0.9091,0.9091,3945784.63,3587112.81,-1194.74,-18151.27,-5767.71,60431.3,2024
2023-06-08,2022-04-16,,SEC029,Delta Urban Holdings,Core,Core,Commercial,Northern Trust,Short,SECID0029,Real Estate Debt,Maple Grove Apartments,13040.77,13172.85,472.3,465.23,1.0527,1.0527,6128405.01,6451371.95,2504.59,-19551.1,993.32,60110.97,2023
2025-09-16,2025-02-10,,SEC030,Alpha Real Estate Fund,Core Plus,Core,Commercial,Northern Trust,Long,SECID0030,REIT Equity,Maple Grove Apartments,27564.71,28346.5,38.78,33.49,1.0693,1.0693,949324.29,1015112.46,-8347.03,10867.2,-6626.24,45647.89,2025
2023-04-17,2021-12-07,,SEC031,Alpha Real Estate Fund,Core,Core Plus,Residential,Northern Trust,Short,SECID0031,Property Direct,Skyline Tower,31273.93,32316.95,312.09,325.6,0.9976,0.9976,10522398.92,10497145.16,-3816.3,-36097.64,-16275.42,3846.8,2023
2025-12-22,2024-09-08,,SEC032,Evergreen REIT Fund,Value Add,Value Add,Industrial,BNY Mellon,Long,SECID0032,Property Direct,Granite Business Center,45578.89,41996.54,57.19,52.02,0.9384,0.9384,2184660.01,2050084.95,1298.61,-18086.33,6385.92,-132921.6,2025
2024-10-08,2022-09-26,,SEC033,Alpha Real Estate Fund,Core,Core,Mixed Use,Northern Trust,Short,SECID0033,REIT Equity,Skyline Tower,34518.04,36919.58,330.33,394.18,1.0519,1.0519,14552960.04,15308258.67,-330.4,-24220.32,-6518.36,3791.89,2024
2025-03-03,2023-09-09,,SEC034,Alpha Real Estate Fund,Opportunistic,Opportunistic,Mixed Use,BNY Mellon,Long,SECID0034,REIT Equity,Riverside Logistics Park,32600.45,31500.32,488.89,606.0,1.079,1.079,19089193.92,20597240.24,-4302.07,-7691.11,10062.93,-46151.35,2025
2025-10-22,2025-08-20,2026-04-11,SEC035,Alpha Real Estate Fund,Value Add,Opportunistic,Commercial,Northern Trust,Short,SECID0035,Property Direct,Granite Business Center,1767.25,1663.75,80.65,95.03,1.0642,1.0642,158106.16,168256.58,4178.46,-22594.14,5298.04,115325.49,2025
2025-03-26,2023-03-22,,SEC036,Cedar Income Partners,Core,Value Add,Residential,Northern Trust,Short,SECID0036,Mortgage Bond,Lakeside Retail Center,25538.85,27961.58,36.31,37.21,1.0677,1.0677,1040450.39,1110888.88,-12358.22,-15937.91,5770.72,-16243.63,2025
2023-06-18,2022-04-30,,SEC037,Alpha Real Estate Fund,Core Plus,Value Add,Commercial,BNY Mellon,Long,SECID0037,Mortgage Bond,Cedar Heights Residences,34305.05,35407.42,51.99,57.06,1.0596,1.0596,2020347.39,2140760.09,1855.73,-12079.7,865.9,-12454.18,2023
2024-02-03,2023-12-30,,SEC038,Evergreen REIT Fund,Core,Core Plus,Residential,State Street,Short,SECID0038,REIT Equity,Cedar Heights Residences,22792.06,23983.38,60.09,53.17,0.9862,0.9862,1275196.31,1257598.6,5838.91,5088.42,3376.03,-32950.16,2024
2024-01-10,2022-10-14,,SEC039,Beacon Property Trust,Core,Opportunistic,Commercial,BNY Mellon,Short,SECID0039,Property Direct,Lakeside Retail Center,5150.28,5563.47,453.55,562.98,1.0144,1.0144,3132122.34,3177224.9,-2438.03,-8651.16,3944.52,-33678.76,2024
2023-02-06,2021-10-19,,SEC040,Delta Urban Holdings,Opportunistic,Core,Residential,State Street,Short,SECID0040,REIT Equity,Granite Business Center,15687.86,16574.75,186.95,229.52,1.0442,1.0442,3804236.62,3972383.88,1448.87,41508.02,8711.25,-26081.88,2023
2024-10-13,2022-06-13,,SEC041,Cedar Income Partners,Value Add,Opportunistic,Mixed Use,BNY Mellon,Long,SECID0041,Mortgage Bond,Cedar Heights Residences,22570.92,22257.71,413.53,459.19,1.0189,1.0189,10220517.85,10413685.64,6006.07,-8161.51,-20381.25,-80646.9,2024
2024-12-23,2023-02-14,,SEC042,Alpha Real Estate Fund,Opportunistic,Opportunistic,Residential,Northern Trust,Short,SECID0042,Real Estate Debt,Lakeside Retail Center,29218.08,27712.91,194.27,228.58,0.9786,0.9786,6334616.97,6199056.17,-9353.96,-7030.27,184.18,134114.98,2024
2024-12-03,2022-07-19,,SEC043,Beacon Property Trust,Core,Core,Residential,BNY Mellon,Short,SECID0043,Mortgage Bond,Granite Business Center,39957.24,41339.58,78.2,75.94,0.9505,0.9505,3139327.71,2983930.99,1634.64,-4382.01,8294.06,-176890.82,2024
2025-01-26,2023-12-25,,SEC044,Cedar Income Partners,Opportunistic,Core Plus,Mixed Use,BNY Mellon,Short,SECID0044,REIT Equity,Skyline Tower,40802.55,41568.17,458.06,409.39,0.9496,0.9496,17017593.12,16159906.43,1178.07,15417.3,-14785.86,91500.32,2025
2023-05-08,2021-11-02,,SEC045,Evergreen REIT Fund,Opportunistic,Value Add,Residential,BNY Mellon,Long,SECID0045,Property Direct,Granite Business Center,28341.68,29405.42,118.31,118.27,0.9926,0.9926,3477779.02,3452043.46,1692.48,-8305.76,6327.82,181655.43,2023
2023-02-27,2021-01-11,2023-08-15,SEC046,Delta Urban Holdings,Value Add,Core Plus,Industrial,State Street,Long,SECID0046,REIT Equity,Cedar Heights Residences,17810.27,18822.86,265.35,262.52,0.9195,0.9195,4941377.21,4543596.34,909.33,4964.41,-4593.61,-67987.55,2023
2025-02-22,2022-10-27,2025-07-06,SEC047,Delta Urban Holdings,Opportunistic,Opportunistic,Mixed Use,BNY Mellon,Long,SECID0047,Real Estate Debt,Lakeside Retail Center,26283.7,26556.58,172.18,175.72,0.9924,0.9924,4666522.24,4631056.67,4151.68,-17121.68,715.66,-38212.6,2025
2025-07-13,2025-06-09,,SEC048,Evergreen REIT Fund,Opportunistic,Value Add,Industrial,State Street,Short,SECID0048,REIT Equity,Riverside Logistics Park,11083.44,11642.77,406.28,355.51,0.9204,0.9204,4139121.16,3809647.12,2394.9,6673.24,10375.4,-40801.31,2025
2025-08-17,2023-10-03,,SEC049,Beacon Property Trust,Value Add,Core Plus,Commercial,BNY Mellon,Long,SECID0049,Real Estate Debt,Riverside Logistics Park,20043.32,19612.57,65.97,65.36,0.9916,0.9916,1281877.58,1271109.81,-1349.37,-19575.27,-4442.93,30184.04,2025
2023-03-12,2021-03-02,2023-10-06,SEC000,Beacon Property Trust,Opportunistic,Core,Industrial,State Street,Long,SECID0000,Property Direct,Lakeside Retail Center,21493.72,19937.0,198.02,183.03,1.0271,1.0271,3649069.11,3747958.88,3784.94,-18443.31,8696.06,108451.03,2023
2025-01-28,2023-12-28,,SEC001,Delta Urban Holdings,Core,Core,Mixed Use,BNY Mellon,Long,SECID0001,REIT Equity,Skyline Tower,24745.84,23236.98,198.13,212.92,1.0306,1.0306,4947617.78,5099014.88,2067.17,37535.92,-7737.89,-99572.38,2025
2023-05-02,2022-06-25,,SEC002,Evergreen REIT Fund,Core Plus,Core Plus,Industrial,Northern Trust,Short,SECID0002,REIT Equity,Lakeside Retail Center,15144.85,15995.2,287.17,332.84,0.9991,0.9991,5323842.37,5319050.91,-8893.6,29920.89,6543.66,-4446.77,2023
2025-04-14,2024-12-01,,SEC003,Alpha Real Estate Fund,Core,Core Plus,Commercial,State Street,Short,SECID0003,Mortgage Bond,Maple Grove Apartments,33029.91,31362.11,438.66,378.52,0.9526,0.9526,11871185.88,11308491.67,1399.84,-22509.78,24457.52,10337.69,2025
2025-03-26,2024-07-28,,SEC004,Cedar Income Partners,Value Add,Value Add,Residential,State Street,Short,SECID0004,REIT Equity,Riverside Logistics Park,40466.58,41033.71,270.82,294.85,0.9337,0.9337,12098789.39,11296639.65,546.97,14515.33,4810.09,17910.72,2025
2025-03-23,2024-10-09,,SEC005,Evergreen REIT Fund,Value Add,Core,Mixed Use,BNY Mellon,Long,SECID0005,REIT Equity,Granite Business Center,35858.35,38214.11,383.12,429.28,0.9979,0.9979,16404553.14,16370103.58,-3952.37,9429.37,18820.24,107633.6,2025
2025-12-09,2023-11-29,,SEC006,Alpha Real Estate Fund,Core,Value Add,Residential,Northern Trust,Short,SECID0006,Real Estate Debt,Granite Business Center,19084.49,20803.06,170.37,144.98,1.0548,1.0548,3016027.64,3181305.95,7965.93,-10224.31,-9896.05,-10062.95,2025
2023-08-09,2022-08-14,,SEC007,Alpha Real Estate Fund,Core Plus,Core Plus,Mixed Use,State Street,Long,SECID0007,Real Estate Debt,Lakeside Retail Center,17550.0,17823.55,287.41,300.09,0.9687,0.9687,5348669.12,5181255.78,278.62,21883.83,-16924.65,122364.03,2023
2024-01-14,2023-05-22,,SEC008,Alpha Real Estate Fund,Value Add,Value Add,Residential,BNY Mellon,Long,SECID0008,REIT Equity,Granite Business Center,45560.95,49043.15,157.91,189.46,1.0753,1.0753,9291715.2,9991381.35,-790.04,-8537.62,-10121.04,-132388.53,2024
2025-05-24,2023-05-09,,SEC009,Evergreen REIT Fund,Opportunistic,Core,Residential,State Street,Short,SECID0009,REIT Equity,Granite Business Center,22032.32,20230.95,56.64,52.98,0.9156,0.9156,1071835.73,981372.79,4115.85,1466.36,-12899.61,-103606.3,2025
2025-03-16,2024-12-04,,SEC010,Delta Urban Holdings,Opportunistic,Opportunistic,Residential,Northern Trust,Long,SECID0010,Real Estate Debt,Lakeside Retail Center,5377.22,5706.26,60.57,60.39,0.9599,0.9599,344601.04,330782.54,-1678.92,33380.43,-2595.91,-120251.44,2025
2024-12-07,2023-02-03,,SEC011,Beacon Property Trust,Core Plus,Core,Industrial,BNY Mellon,Short,SECID0011,Real Estate Debt,Union Square Offices,46074.81,47144.45,226.77,212.46,1.0793,1.0793,10016309.85,10810603.22,-1228.72,-5454.47,-26968.87,-4343.59,2024
2024-11-03,2024-01-24,,SEC012,Cedar Income Partners,Opportunistic,Opportunistic,Mixed Use,BNY Mellon,Long,SECID0012,Real Estate Debt,Lakeside Retail Center,30400.39,31054.56,391.7,441.13,1.0696,1.0696,13699098.05,14652555.27,-1154.67,13924.13,18489.56,90125.2,2024
2024-02-08,2022-08-16,,SEC013,Delta Urban Holdings,Core,Value Add,Commercial,BNY Mellon,Long,SECID0013,REIT Equity,Harbor Plaza,4479.59,4827.86,15.91,15.82,0.9633,0.9633,76376.75,73573.72,-1344.44,-22130.52,25733.6,4737.47,2024
2023-05-07,2023-02-26,,SEC014,Delta Urban Holdings,Core,Core Plus,Commercial,BNY Mellon,Long,SECID0014,Property Direct,Harbor Plaza,47485.32,46516.38,150.38,170.69,1.0534,1.0534,7939880.9,8363870.54,69.65,-482.5,1980.85,-11548.83,2023
2025-04-26,2024-10-19,,SEC015,Delta Urban Holdings,Opportunistic,Core Plus,Commercial,State Street,Short,SECID0015,REIT Equity,Lakeside Retail Center,20145.84,20686.93,418.92,470.21,0.9132,0.9132,9727201.36,8882880.28,-2868.31,-10937.18,-327.53,-43473.98,2025
2025-10-02,2024-10-21,,SEC016,Delta Urban Holdings,Value Add,Value Add,Commercial,BNY Mellon,Long,SECID0016,Property Direct,Harbor Plaza,33244.57,31087.97,16.21,14.67,0.9023,0.9023,456060.52,411503.41,-3564.23,2128.6,-2549.77,120319.44,2025
2023-06-26,2022-03-14,,SEC017,Cedar Income Partners,Core Plus,Core,Commercial,BNY Mellon,Long,SECID0017,Property Direct,Harbor Plaza,4129.73,4305.1,292.56,257.7,0.991,0.991,1109424.27,1099439.45,-13254.85,21830.14,12460.85,-165871.22,2023
2025-11-24,2025-06-29,,SEC018,Delta Urban Holdings,Opportunistic,Opportunistic,Residential,Northern Trust,Short,SECID0018,Real Estate Debt,Cedar Heights Residences,25932.42,23567.58,432.83,410.25,0.9944,0.9944,9668599.7,9614455.54,-1713.44,-7428.82,-14075.12,-62225.34,2025
2023-07-24,2022-08-01,,SEC019,Evergreen REIT Fund,Core Plus,Core,Residential,BNY Mellon,Short,SECID0019,Property Direct,Cedar Heights Residences,4816.47,4693.95,256.0,309.96,0.9359,0.9359,1454936.74,1361675.29,-5552.88,35045.41,9356.78,101724.41,2023
2023-09-15,2023-08-08,,SEC020,Delta Urban Holdings,Opportunistic,Opportunistic,Commercial,State Street,Short,SECID0020,REIT Equity,Union Square Offices,15288.16,16158.08,372.39,352.67,0.9737,0.9737,5698470.07,5548600.31,3608.36,-22581.04,-5245.2,39149.96,2023
2025-06-21,2023-01-14,,SEC021,Cedar Income Partners,Core Plus,Opportunistic,Commercial,BNY Mellon,Short,SECID0021,REIT Equity,Maple Grove Apartments,1470.15,1421.64,381.88,382.07,1.0476,1.0476,543165.99,569020.69,-6110.64,14259.97,-2403.25,-29985.66,2025
2025-05-03,2025-02-18,,SEC022,Alpha Real Estate Fund,Core Plus,Opportunistic,Mixed Use,State Street,Long,SECID0022,Mortgage Bond,Maple Grove Apartments,44967.09,45144.79,353.41,353.06,1.0949,1.0949,15938819.56,17451413.54,3554.8,8885.27,-3609.66,92746.38,2025
2023-05-09,2022-05-22,,SEC023,Beacon Property Trust,Opportunistic,Core Plus,Commercial,State Street,Long,SECID0023,Mortgage Bond,Lakeside Retail Center,20254.68,21599.18,169.86,175.14,0.9467,0.9467,3782880.39,3581252.87,-5405.32,12318.71,5931.01,-24763.72,2023
2024-07-04,2022-12-04,,SEC024,Cedar Income Partners,Core Plus,Opportunistic,Industrial,State Street,Long,SECID0024,Real Estate Debt,Cedar Heights Residences,38746.5,38373.89,237.04,282.31,0.9181,0.9181,10833332.89,9946082.93,1630.67,-25022.27,9240.27,-14792.17,2024
2024-09-02,2022-09-10,,SEC025,Evergreen REIT Fund,Opportunistic,Core Plus,Mixed Use,State Street,Long,SECID0025,REIT Equity,Skyline Tower,41184.39,38498.08,476.53,567.95,1.0112,1.0112,21864984.54,22109872.37,-2613.62,20980.18,-7043.44,-112676.9,2024
2023-04-05,2022-08-16,,SEC026,Alpha Real Estate Fund,Core Plus,Core Plus,Commercial,Northern Trust,Short,SECID0026,Real Estate Debt,Harbor Plaza,19239.75,19741.13,325.9,352.93,0.9518,0.9518,6967237.01,6631416.19,-7783.15,12120.2,-12804.29,140383.53,2023
2024-02-02,2022-09-18,2024-09-20,SEC027,Beacon Property Trust,Opportunistic,Value Add,Industrial,BNY Mellon,Long,SECID0027,REIT Equity,Union Square Offices,41262.58,40396.05,24.45,27.46,0.9346,0.9346,1109275.53,1036728.91,-10409.65,33929.13,2110.17,-7737.05,2024
2025-05-16,2024-02-20,,SEC028,Evergreen REIT Fund,Opportunistic,Core Plus,Mixed Use,Northern Trust,Short,SECID0028,Mortgage Bond,Lakeside Retail Center,24472.52,22454.62,197.68,201.18,1.0285,1.0285,4517420.45,4646166.93,-2724.6,7982.72,-376.35,88264.15,2025
2024-10-17,2023-10-24,,SEC029,Alpha Real Estate Fund,Core,Value Add,Commercial,State Street,Long,SECID0029,Real Estate Debt,Union Square Offices,9810.98,9455.58,117.32,141.76,1.0557,1.0557,1340423.02,1415084.58,571.14,3006.04,-3636.12,-4555.65,2024
2024-09-27,2022-06-10,,SEC030,Cedar Income Partners,Opportunistic,Opportunistic,Commercial,Northern Trust,Short,SECID0030,Property Direct,Skyline Tower,3739.52,4110.77,117.51,139.67,1.0595,1.0595,574151.25,608313.25,1539.01,-34203.37,-13481.85,59461.13,2024
2025-12-12,2024-04-10,,SEC031,Cedar Income Partners,Opportunistic,Core,Residential,State Street,Long,SECID0031,Real Estate Debt,Union Square Offices,28592.34,26809.51,494.12,594.25,0.9984,0.9984,15931551.32,15906060.84,854.33,-3679.67,184.34,27806.54,2025
2023-09-16,2023-08-17,,SEC032,Cedar Income Partners,Core Plus,Core Plus,Commercial,Northern Trust,Long,SECID0032,REIT Equity,Cedar Heights Residences,31092.6,32998.24,176.97,162.99,1.0605,1.0605,5378383.14,5703775.32,-2698.8,-15566.09,1958.45,-78269.82,2023
2023-06-23,2021-07-15,,SEC033,Delta Urban Holdings,Value Add,Opportunistic,Industrial,State Street,Long,SECID0033,Mortgage Bond,Riverside Logistics Park,5950.58,5714.66,76.86,70.17,1.0897,1.0897,400997.69,436967.18,2041.26,-34051.67,10291.56,37807.8,2023
2025-12-10,2025-07-03,2025-12-20,SEC034,Alpha Real Estate Fund,Opportunistic,Value Add,Commercial,Northern Trust,Long,SECID0034,Mortgage Bond,Maple Grove Apartments,47490.62,51752.41,201.88,251.89,1.093,1.093,13035914.55,14248254.6,1280.15,19653.82,16654.74,81149.61,2025
2024-12-03,2024-03-05,,SEC035,Cedar Income Partners,Core,Core Plus,Industrial,State Street,Long,SECID0035,REIT Equity,Cedar Heights Residences,16656.42,17110.1,481.91,568.01,1.034,1.034,9718707.9,10049143.97,-9204.37,-25591.54,-6248.19,2087.28,2024
2024-02-24,2024-01-24,2024-10-15,SEC036,Evergreen REIT Fund,Core,Core Plus,Mixed Use,Northern Trust,Long,SECID0036,Real Estate Debt,Lakeside Retail Center,36896.64,40358.3,443.43,464.37,0.9757,0.9757,18741183.77,18285773.0,2588.3,-14514.88,1867.67,-60430.63,2024
2023-01-10,2022-11-21,,SEC037,Evergreen REIT Fund,Core Plus,Value Add,Mixed Use,Northern Trust,Long,SECID0037,Mortgage Bond,Maple Grove Apartments,47631.44,43575.15,93.35,93.37,1.0464,1.0464,4068611.76,4257395.35,-3057.59,-28133.22,-9232.33,-108134.77,2023
2025-07-06,2025-04-13,2025-10-29,SEC038,Cedar Income Partners,Value Add,Opportunistic,Residential,State Street,Short,SECID0038,Mortgage Bond,Maple Grove Apartments,48745.52,47861.08,281.52,343.52,1.008,1.008,16441238.2,16572768.11,-4879.37,21072.84,-9493.99,210590.57,2025
